<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,17/09/18,10:01,108230,108380,108000,108110,124
SPFB.RTS-12.18,1,17/09/18,10:02,108110,108110,107960,108010,137
SPFB.RTS-12.18,1,17/09/18,10:03,108010,108070,107960,107960,122
SPFB.RTS-12.18,1,17/09/18,10:04,107950,108080,107950,108060,110
SPFB.RTS-12.18,1,17/09/18,10:05,108060,108150,108040,108080,63
SPFB.RTS-12.18,1,17/09/18,10:06,108070,108070,107930,107930,87
SPFB.RTS-12.18,1,17/09/18,10:07,107960,107960,107650,107740,389
SPFB.RTS-12.18,1,17/09/18,10:08,107760,107880,107760,107810,95
SPFB.RTS-12.18,1,17/09/18,10:09,107830,107920,107830,107920,51
SPFB.RTS-12.18,1,17/09/18,10:10,107900,107920,107810,107920,95
SPFB.RTS-12.18,1,17/09/18,10:11,107940,107940,107790,107820,68
SPFB.RTS-12.18,1,17/09/18,10:12,107820,107820,107770,107820,78
SPFB.RTS-12.18,1,17/09/18,10:13,107820,107890,107800,107840,28
SPFB.RTS-12.18,1,17/09/18,10:14,107860,107960,107860,107940,23
SPFB.RTS-12.18,1,17/09/18,10:15,107930,107930,107800,107870,42
SPFB.RTS-12.18,1,17/09/18,10:16,107820,107850,107780,107800,30
SPFB.RTS-12.18,1,17/09/18,10:17,107770,107830,107750,107790,13
SPFB.RTS-12.18,1,17/09/18,10:18,107780,107860,107720,107860,58
SPFB.RTS-12.18,1,17/09/18,10:19,107890,107930,107890,107930,9
SPFB.RTS-12.18,1,17/09/18,10:20,107860,107900,107820,107890,23
SPFB.RTS-12.18,1,17/09/18,10:21,107860,107890,107810,107810,29
SPFB.RTS-12.18,1,17/09/18,10:22,107810,107810,107750,107780,30
SPFB.RTS-12.18,1,17/09/18,10:23,107780,107800,107750,107770,22
SPFB.RTS-12.18,1,17/09/18,10:24,107780,107850,107780,107830,16
SPFB.RTS-12.18,1,17/09/18,10:25,107830,107830,107760,107760,39
SPFB.RTS-12.18,1,17/09/18,10:26,107750,107750,107680,107750,43
SPFB.RTS-12.18,1,17/09/18,10:27,107740,107790,107700,107730,107
SPFB.RTS-12.18,1,17/09/18,10:28,107730,107860,107730,107850,99
SPFB.RTS-12.18,1,17/09/18,10:29,107780,107800,107750,107800,72
SPFB.RTS-12.18,1,17/09/18,10:30,107860,107860,107810,107820,18
SPFB.RTS-12.18,1,17/09/18,10:31,107810,107900,107810,107860,48
SPFB.RTS-12.18,1,17/09/18,10:32,107890,107970,107890,107970,104
SPFB.RTS-12.18,1,17/09/18,10:33,107970,108010,107940,107970,154
SPFB.RTS-12.18,1,17/09/18,10:34,107980,108020,107960,108000,64
SPFB.RTS-12.18,1,17/09/18,10:35,107980,108080,107980,108030,49
SPFB.RTS-12.18,1,17/09/18,10:36,108030,108060,108010,108020,145
SPFB.RTS-12.18,1,17/09/18,10:37,108020,108060,108010,108040,33
SPFB.RTS-12.18,1,17/09/18,10:38,108060,108110,108020,108020,50
SPFB.RTS-12.18,1,17/09/18,10:39,108050,108090,108020,108050,16
SPFB.RTS-12.18,1,17/09/18,10:40,108050,108070,107990,108020,13
SPFB.RTS-12.18,1,17/09/18,10:41,108030,108040,107900,107930,78
SPFB.RTS-12.18,1,17/09/18,10:42,107920,107920,107880,107900,46
SPFB.RTS-12.18,1,17/09/18,10:43,107880,107920,107850,107920,66
SPFB.RTS-12.18,1,17/09/18,10:44,107910,107970,107910,107970,4
SPFB.RTS-12.18,1,17/09/18,10:45,107910,107960,107910,107960,13
SPFB.RTS-12.18,1,17/09/18,10:46,107930,107940,107910,107930,29
SPFB.RTS-12.18,1,17/09/18,10:47,107930,107940,107930,107940,16
SPFB.RTS-12.18,1,17/09/18,10:48,107900,107910,107880,107910,31
SPFB.RTS-12.18,1,17/09/18,10:49,107920,107930,107890,107890,15
SPFB.RTS-12.18,1,17/09/18,10:50,107850,107870,107850,107860,7
SPFB.RTS-12.18,1,17/09/18,10:51,107880,107880,107750,107800,88
