Date,Open,High,Low,Close
9/17/2018,108230,108380,108000,108110
9/17/2018,108110,108110,107960,108010
9/17/2018,108010,108070,107960,107960
9/17/2018,107950,108080,107950,108060
9/17/2018,108060,108150,108040,108080
9/17/2018,108070,108070,107930,107930
9/17/2018,107960,107960,107650,107740
9/17/2018,107760,107880,107760,107810
9/17/2018,107830,107920,107830,107920
9/17/2018,107900,107920,107810,107920
9/17/2018,107940,107940,107790,107820
9/17/2018,107820,107820,107770,107820
9/17/2018,107820,107890,107800,107840
9/17/2018,107860,107960,107860,107940
9/17/2018,107930,107930,107800,107870
9/17/2018,107820,107850,107780,107800
9/17/2018,107770,107830,107750,107790
9/17/2018,107780,107860,107720,107860
9/17/2018,107890,107930,107890,107930
9/17/2018,107860,107900,107820,107890
9/17/2018,107860,107890,107810,107810
9/17/2018,107810,107810,107750,107780
9/17/2018,107780,107800,107750,107770
9/17/2018,107780,107850,107780,107830
9/17/2018,107830,107830,107760,107760
9/17/2018,107750,107750,107680,107750
9/17/2018,107740,107790,107700,107730
9/17/2018,107730,107860,107730,107850
9/17/2018,107780,107800,107750,107800
9/17/2018,107860,107860,107810,107820
9/17/2018,107810,107900,107810,107860
9/17/2018,107890,107970,107890,107970
9/17/2018,107970,108010,107940,107970
9/17/2018,107980,108020,107960,108000
9/17/2018,107980,108080,107980,108030
9/17/2018,108030,108060,108010,108020
9/17/2018,108020,108060,108010,108040
9/17/2018,108060,108110,108020,108020
9/17/2018,108050,108090,108020,108050
9/17/2018,108050,108070,107990,108020
9/17/2018,108030,108040,107900,107930
9/17/2018,107920,107920,107880,107900
9/17/2018,107880,107920,107850,107920
9/17/2018,107910,107970,107910,107970
9/17/2018,107910,107960,107910,107960
9/17/2018,107930,107940,107910,107930
9/17/2018,107930,107940,107930,107940
9/17/2018,107900,107910,107880,107910
9/17/2018,107920,107930,107890,107890
9/17/2018,107850,107870,107850,107860
9/17/2018,107880,107880,107750,107800
9/17/2018,107800,107800,107710,107720
9/17/2018,107700,107790,107680,107770
9/17/2018,107780,107780,107540,107560
9/17/2018,107530,107560,107520,107540
