index,distance,x1,y1,x2,y2
0,13426.169706956634,277,-2660,7585,8603
1,12723.13176855447,6947,4109,-1944,-4992
2,774.9812900967352,9231,-541,9101,-1305
3,7051.649027000706,4733,-128,6848,-6855
4,7711.143170762685,9310,6203,6490,-974
5,16246.061061069542,-6301,6519,5625,-4513
6,11107.824494472354,4660,9814,-1078,303
7,9463.895022663766,7221,1136,1818,8906
8,12751.008822834372,-8091,7585,-8076,-5166
9,10482.361279788061,-893,105,-5626,-9248
10,19516.260323125432,-8908,-4381,7251,6563
11,20433.198476988375,9589,6479,-9571,-621
12,15877.691834772459,6630,-8064,-9117,-6031
13,496.1219608120568,-7929,-8366,-7820,-8850
14,2381.6351525790005,7516,-726,6651,1493
15,18307.506056260092,-9456,-3263,7627,-9846
16,9573.056617402824,656,-153,-4777,7729
17,11161.496897817962,4925,5617,-5858,8499
18,8735.626480110055,6341,-612,7924,7979
19,2885.6146658900943,-2371,-9932,-4095,-7618
20,7975.783159038365,4740,-3485,-2049,701
21,11829.354166648322,3223,3623,-8579,2819
22,3222.8535492634473,-4081,1753,-2528,-1071
23,7185.281135766366,-5663,-5392,-204,-720
24,15761.492219964453,-4974,-9026,5095,3100
25,13353.604045350454,-1651,-6951,3428,5399
26,4449.159583561822,-6942,8682,-2532,9271
27,4363.258530043802,3970,6647,7447,9283
28,6938.361261854272,3649,3034,3830,-3902
29,24218.11165223251,-9651,-7224,8043,9312
30,17443.63660479087,9493,4410,-6470,-2623
31,15106.530673850963,224,9095,-5414,-4920
32,12403.287709313205,1058,2087,-9903,-3718
33,5592.465288224863,1267,4478,1745,-1094
34,4293.736018900091,577,-8357,4164,-5997
35,13036.867453495108,1906,-3958,-4146,7589
36,4195.114539556697,-3841,5657,-6576,8838
37,16033.491572330713,-5638,-6951,8808,5
38,13199.018902933658,-3909,-6844,9289,-7008
39,2738.0615405793933,9184,-7680,6825,-9070
40,10048.23765642513,-2901,-8769,2137,-75
41,20256.929925336663,8503,-7891,-3968,8072
42,14069.662184999326,-9373,-4482,3962,5
43,3763.8344809515734,-8367,-9797,-5100,-7928
44,12199.650855659764,-7365,-9935,3494,-4375
45,7784.358290829116,5874,1109,3449,8506
46,9082.495912468114,3028,-6792,8962,84
47,1447.7820968640274,3298,-4539,1975,-5127
48,3411.2033067526186,-3871,-938,-2893,2330
49,561.9475064452195,8684,8130,8143,8282
50,7358.245986646546,2221,194,-869,-6484
51,1604.8538874302544,3378,707,1828,291
52,7951.992203215494,705,-1054,-7191,-1996
53,8824.813255814539,-1458,-3904,-7483,2544
54,11375.695583128092,-9995,1884,240,-3081
55,8990.02035592801,3689,2837,3244,-6142
56,2590.324497046654,710,-8340,-1880,-8381
57,3431.361245919759,-9918,3436,-8162,6384
58,4456.363652127146,-4193,8720,146,7704
59,2085.811113212316,-2461,-3904,-593,-4832
60,20345.62331313543,-3519,-9153,8713,7105
